character_name,release_year,best_of_episodes,non_best_of_episodes,episodes
"Jackenzie Bergentrack","2017",1,0,1
"Colonel Tick-Tock","2010",0,1,1
"Mart","2016",0,1,1
"Pam Steensma","2016",0,1,1
"R.J. Rise","2014",0,1,1
"McGruff the Crime Dog","2022",0,3,3
"Merrill Shindler","2010",0,2,2
"Melvin Pelvinon","2012",0,1,1
"Little Debbie","2021",0,1,1
"Franky Flush","2022",0,1,1
"Janelle Jinx","2017",0,1,1
"Tyler Wiffle","2020",0,1,1
"Nathan Hershey","2016",0,1,1
"Chip Garvey","2019",0,1,1
"New dad","2013",0,1,1
"The Chief","2022",0,2,2
"Captain Chesley “Sully” Sullenberger","2022",0,2,2
"Officer Marshal Sergeant","2022",0,1,1
"O. J. Simpson","2020",1,0,1
"Mr. Brainwash","2011",0,1,1
"Mark Hamill","2012",0,1,1
"Mr. Bread","2019",0,1,1
"Chastity Aspen","2019",1,0,1
"Corey A.","2019",0,1,1
"Saul Goodman","2012",0,1,1
"Brady","2019",0,1,1
"Mr. Books","2023",0,1,1
"Tierna","2022",1,0,1
"Emily Grandchildren","2018",1,0,1
"Johnny Scat","2022",0,1,1
"Emile Gerard","2022",0,1,1
"Gino Lombardo","2019",2,4,6
"Rich Mind Vain","2016",0,1,1
"Bethany Waterbottle","2022",1,0,1
"Keith Stanley","2022",1,0,1
"Brantley Aldean","2019",2,1,3
"Fabrice Fabrice","2011",0,2,2
"Ghost of Harry Crane","2015",0,1,1
"Joe Bongo","2018",0,1,1
"Pope Benedict XVI","2013",0,1,1
"James Gandolfini","2010",1,0,1
"Mr. Camp","2021",0,1,1
"Brock Stone","2016",0,1,1
"Jergen Tavikya","2018",0,1,1
"Drew L. Barrymore","2023",0,1,1
"Harper L. Cosmopolitan","2021",0,1,1
"Bob and Cherilyn Wessex","2020",0,1,1
"Ray Romano","2009",0,1,1
"Emma Simon Knee-Keller","2022",0,1,1
"Bennett Stephens","2010",0,1,1
"Bill Diesel","2013",0,1,1
"Sappity Tappity","2014",0,1,1
"Crapy the Reindeer","2021",1,0,1
"Silver Screen Sammy","2023",0,1,1
"Frank Stallone","2013",1,1,2
"Toluca Graves","2017",0,1,1
"Crenshaw","2023",0,1,1
"Dr. Frankie Beans","2015",0,1,1
"Jim Bolt","2023",0,1,1
"Richard Dalton","2009",0,1,1
"JJ and Murphy O'Malaman","2015",1,0,1
"Jack Furz","2019",0,1,1
"Snake Eyes","2023",0,1,1
"Tootie","2020",1,0,1
"Celine Dion","2018",0,1,1
"Alli","2014",0,2,2
"Mary Lisa","2017",0,1,1
"Xzibit","2019",0,1,1
"Rusell Karate","2020",0,1,1
"Tony Wyoming","2020",0,1,1
"Nana Aukerman","2020",0,1,1
"Patty Pecker","2016",0,1,1
"Dar the Beast Master","2020",0,1,1
"Cynthia Blake","2022",0,1,1
"VAAMM","2023",0,1,1
"Pammy & Earl Bixby","2014",0,1,1
"Rizzoli","2012",0,1,1
"Tom Leykis","2012",1,0,1
"Del LaRue","2012",0,1,1
"Bean Dip","2022",0,1,1
"Joey Tortellini","2019",0,2,2
"Superman","2022",0,1,1
"Charles Barkley","2011",0,1,1
"Cecil Sotheby","2022",0,1,1
"Mathilda Primble","2019",0,1,1
"Big Jim Slotzman","2009",0,1,1
"Gary the Robot","2021",0,1,1
"Gavin's Friend","2021",0,1,1
"Leslie Schecter","2011",0,1,1
"Pamela from Big Bear","2016",1,3,4
"Dimples","2019",0,1,1
"Henry","2022",0,1,1
"Rosie Jipps","2017",0,1,1
"Atherton Witherflower","2015",0,1,1
"Jim Belushi","2012",0,1,1
"Elaine the Dragon","2015",0,1,1
"Killiam","2018",1,0,1
"Clark Griswold","2013",0,1,1
"Ted Ronson","2016",1,0,1
"Michael Phelps","2012",0,1,1
"Sisqó","2022",0,1,1
"Jerry Jimson","2009",0,1,1
"Cheri Oteri","2013",0,1,1
"Craig & Ron Bieber","2016",0,1,1
"Fourvel","2016",1,1,2
"Paul Giamatti","2011",0,1,1
"Trish Maxwell","2020",0,1,1
"Santa Claus","2018",1,0,1
"'Shell","2021",0,1,1
"Be-Be Dubs","2013",0,1,1
"Sherry Barrels","2020",0,1,1
"Pudge","2023",0,1,1
"Hauntettes","2013",0,1,1
"Rhonda DeLuce","2015",0,1,1
"Amber Bolt","2022",0,1,1
"Steve Explosione","2015",0,1,1
"Matt Knight","2016",0,1,1
"Ralph and Olivia Slodge","2019",0,1,1
"Barry R","2010",0,2,2
"Shimmy","2022",2,3,5
"Stephen Hawking","2012",0,1,1
"Tricia R.","2017",0,1,1
"Gollum","2019",0,1,1
"Mr. Fastidious","2019",0,1,1
"Len & Pam Bicell","2012",0,1,1
"Ric Bic","2015",0,1,1
"Marla Charles","2014",0,1,1
"Elvis Presley","2023",0,1,1
"Glen Plapinger","2023",0,1,1
"Messmore LeBaron","2014",0,1,1
"Chunt","2016",0,1,1
"Tony and Lucille Restaurantino","2019",0,1,1
"Jonathan Track","2019",0,1,1
"D'Artagnan Bergentrack","2017",1,0,1
"Lisa Taco","2016",0,1,1
"Rupert Sharp","2019",1,0,1
"Monika Smith","2022",0,1,1
"Keantwo Reeves","2018",0,1,1
"Randy Useless","2019",0,2,2
"Ho Ho the Elf","2017",1,0,1
"Bernie Fretts","2014",0,1,1
"Darren Matichek","2019",2,0,2
"Scaroline","2017",0,1,1
"David Bunting","2015",1,0,1
"Huell Howser","2019",0,1,1
"Joe Bongo","2015",1,0,1
"Sunny","2016",0,2,2
"Skipp Dribbles","2016",0,1,1
"JJ and Murphy O'Malaman","2016",2,0,2
"Mary Lisa","2019",0,2,2
"Randy Snutz","2021",3,0,3
"Donny Gary","2022",0,1,1
"Don DiMello","2010",1,0,1
"Carissa","2022",0,1,1
"Alan Thicke","2016",1,1,2
"Garry Marshall","2012",1,3,4
"H.R. Giger","2021",0,1,1
"Harland Haywood","2022",0,1,1
"Ghost Boy","2012",0,1,1
